YEAR,ØST,AKER,HED,OPPL,BUSK,VEST,TELM,AU_AG,VE_AG,ROGL,HORD,SOGN,MØRE,SØRT,NORT,NORD,TROM,FINN,OSLO,Unknown_hunting_county,Total,Agder,Innlandet,Troms_og_Finnmark,Trøndelag,Vestfold_og_Telemark,Vestland,Viken
1846,0,0,5,11,1,0,1,0,0,2,6,2,2,1,1,0,49,NA,NA,NA,81,,,,,,,
1847,0,0,7,6,3,0,0,0,0,1,3,4,0,0,6,2,56,NA,NA,NA,88,,,,,,,
1848,0,0,8,15,1,0,0,0,0,2,1,2,0,1,3,0,18,NA,NA,NA,51,,,,,,,
1849,0,0,14,5,4,1,0,1,0,3,1,1,1,6,5,4,30,NA,NA,NA,76,,,,,,,
1850,0,0,5,2,1,1,1,0,0,0,0,0,1,0,1,0,27,NA,NA,NA,39,,,,,,,
1851,0,0,2,6,0,0,0,0,1,1,2,0,0,1,2,0,35,NA,NA,NA,50,,,,,,,
1852,0,0,5,7,3,0,0,0,0,3,2,0,0,5,3,2,15,NA,NA,NA,45,,,,,,,
1853,0,0,2,9,2,0,2,3,0,5,7,0,1,2,5,1,12,NA,NA,NA,51,,,,,,,
1854,0,0,1,6,0,0,2,0,0,1,2,0,0,0,3,1,19,NA,NA,NA,35,,,,,,,
1855,0,0,7,6,0,0,0,1,0,4,2,1,1,1,3,2,44,NA,NA,NA,72,,,,,,,
1856,0,0,9,2,2,0,0,0,0,1,6,0,0,0,5,0,19,NA,NA,NA,44,,,,,,,
1857,0,0,3,3,1,0,0,0,1,1,2,0,0,0,2,3,7,NA,NA,NA,23,,,,,,,
1858,0,0,2,3,0,0,0,0,0,2,5,0,0,1,3,1,25,NA,NA,NA,42,,,,,,,
1859,0,0,2,11,1,0,2,0,0,0,1,2,0,0,5,2,37,NA,NA,NA,63,,,,,,,
1860,0,0,1,8,0,0,2,0,0,3,3,1,0,1,8,1,16,NA,NA,NA,44,,,,,,,
1861,0,0,0,1,0,0,2,1,0,1,1,1,0,0,6,6,14,NA,NA,NA,33,,,,,,,
1862,0,0,4,4,1,0,2,0,0,0,5,5,0,0,4,2,12,NA,NA,NA,39,,,,,,,
1863,0,0,0,2,0,0,0,0,1,1,4,0,1,1,10,4,12,NA,NA,NA,36,,,,,,,
1864,0,0,1,6,1,0,2,0,1,2,8,2,0,0,13,2,52,NA,NA,NA,90,,,,,,,
1865,0,0,5,3,1,0,0,0,0,0,0,0,1,1,5,6,22,NA,NA,NA,44,,,,,,,
1866,0,0,2,2,3,0,1,1,1,1,2,2,0,0,13,4,3,28,NA,NA,63,,,,,,,
1867,0,0,2,7,2,0,1,0,1,1,2,2,0,0,12,4,3,17,NA,NA,54,,,,,,,
1868,0,0,2,2,2,0,1,0,0,1,2,2,0,0,12,3,2,17,NA,NA,46,,,,,,,
1869,0,0,2,9,2,0,1,0,0,0,1,2,0,0,12,3,6,24,NA,NA,62,,,,,,,
1870,0,0,1,8,2,0,0,0,0,0,1,2,0,0,12,3,4,16,NA,NA,49,,,,,,,
1871,0,0,2,7,8,0,0,0,0,0,2,1,0,1,5,4,16,36,NA,NA,82,,,,,,,
1872,0,0,1,0,0,0,1,0,0,2,1,0,0,0,4,1,8,25,NA,NA,43,,,,,,,
1873,0,0,4,1,0,0,0,1,0,0,1,0,0,0,5,5,3,29,NA,NA,49,,,,,,,
1874,0,0,0,1,0,0,0,0,0,1,0,2,3,1,2,2,11,50,NA,NA,73,,,,,,,
1875,0,0,0,3,0,0,0,0,0,1,2,0,1,0,8,4,14,35,NA,NA,68,,,,,,,
1876,0,0,2,2,1,0,0,0,0,1,1,1,1,0,2,4,14,22,NA,NA,51,,,,,,,
1877,0,0,0,1,1,0,1,0,0,2,4,4,0,1,6,4,12,80,NA,NA,116,,,,,,,
1878,0,0,4,9,1,0,1,0,0,0,1,0,0,0,12,3,6,110,NA,NA,147,,,,,,,
1879,0,1,5,3,0,0,0,0,0,3,2,0,3,1,11,0,3,61,NA,NA,93,,,,,,,
1880,0,0,1,4,1,0,1,0,0,0,2,2,4,1,4,2,6,17,NA,NA,45,,,,,,,
1881,0,1,0,12,2,0,1,0,0,1,6,3,1,0,2,9,4,21,NA,NA,63,,,,,,,
1882,0,0,1,0,0,0,2,0,0,0,1,0,1,0,1,9,11,49,NA,NA,75,,,,,,,
1883,0,0,0,12,0,0,0,0,0,0,0,1,0,3,1,0,5,17,NA,NA,39,,,,,,,
1884,0,0,0,4,1,0,0,0,0,2,3,0,0,8,4,6,4,17,NA,NA,49,,,,,,,
1885,0,0,1,4,3,0,2,0,0,1,2,2,0,8,2,6,8,53,NA,NA,92,,,,,,,
1886,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,4,7,23,NA,NA,40,,,,,,,
1887,0,0,0,1,0,0,0,0,0,1,3,4,0,0,5,2,8,27,NA,NA,51,,,,,,,
1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,14,20,NA,NA,54,,,,,,,
1889,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4,1,12,5,NA,NA,25,,,,,,,
1890,0,0,1,1,0,0,0,0,0,0,0,2,1,0,3,9,7,23,NA,NA,47,,,,,,,
1891,0,0,12,5,0,0,0,0,0,1,0,0,1,1,0,6,1,15,NA,NA,42,,,,,,,
1892,0,0,1,1,0,0,0,1,0,1,2,2,0,2,9,1,7,10,NA,NA,37,,,,,,,
1893,0,0,0,2,0,0,1,1,0,3,2,0,0,6,3,2,6,14,NA,NA,40,,,,,,,
1894,0,0,1,0,0,0,0,0,0,3,1,4,14,2,4,6,1,10,NA,NA,46,,,,,,,
1895,0,0,0,3,0,0,0,1,0,0,4,0,0,1,14,9,9,9,NA,NA,50,,,,,,,
1896,0,0,0,1,0,0,1,0,0,4,4,1,0,2,21,7,8,15,NA,NA,64,,,,,,,
1897,0,0,2,1,0,0,0,0,0,0,2,0,1,0,4,3,10,25,NA,NA,48,,,,,,,
1898,0,0,0,0,0,0,0,0,0,1,0,3,0,1,6,16,12,18,NA,NA,57,,,,,,,
1899,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,4,8,20,NA,NA,40,,,,,,,
1900,0,0,0,3,0,0,0,0,0,6,1,0,0,0,6,6,8,8,NA,NA,38,,,,,,,
1901,0,0,0,0,0,0,2,0,0,0,1,2,0,0,4,1,10,8,NA,NA,28,,,,,,,
1902,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,3,6,10,NA,NA,25,,,,,,,
1903,0,0,0,0,0,0,1,0,0,0,4,2,0,2,2,2,10,8,NA,NA,31,,,,,,,
1904,0,0,1,2,0,0,0,0,0,0,0,0,1,0,2,6,20,14,NA,NA,46,,,,,,,
1905,0,0,2,2,0,0,0,0,0,2,0,1,3,0,8,4,31,32,NA,NA,85,,,,,,,
1906,0,0,1,0,2,0,1,0,0,1,0,0,0,0,1,4,5,13,NA,NA,28,,,,,,,
1907,0,0,0,1,0,0,0,0,0,2,2,1,0,0,3,4,3,20,NA,NA,36,,,,,,,
1908,0,0,1,0,3,0,4,0,0,4,1,1,0,0,1,1,11,6,NA,NA,33,,,,,,,
1909,0,0,0,0,2,0,0,1,0,1,4,4,2,0,6,0,7,26,NA,NA,53,,,,,,,
1910,0,0,1,0,0,0,2,0,0,1,7,1,0,0,3,3,2,0,NA,NA,20,,,,,,,
1911,0,0,0,1,3,0,0,0,2,3,5,2,0,0,2,3,5,10,NA,NA,36,,,,,,,
1912,0,0,0,0,3,0,2,0,0,3,2,6,0,0,5,6,4,6,NA,NA,37,,,,,,,
1913,0,0,0,0,1,0,5,3,3,5,1,0,1,2,3,7,10,11,NA,NA,52,,,,,,,
1914,0,0,0,2,1,0,1,0,2,0,3,0,1,0,3,10,5,9,NA,NA,37,,,,,,,
1915,0,0,0,2,1,0,4,1,0,1,10,1,0,0,1,13,0,11,NA,NA,45,,,,,,,
1916,0,0,0,2,1,0,6,0,0,4,2,1,0,1,3,13,13,7,NA,NA,53,,,,,,,
1917,0,0,0,0,2,0,6,0,0,4,4,2,0,1,5,2,2,4,NA,NA,32,,,,,,,
1918,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,5,3,5,NA,NA,19,,,,,,,
1919,0,0,1,0,3,0,1,0,1,4,1,0,0,0,5,8,1,1,NA,NA,26,,,,,,,
1920,0,0,0,1,2,0,0,2,0,4,1,2,0,0,3,11,0,1,NA,NA,27,,,,,,,
1921,0,0,0,2,0,0,0,0,3,6,5,0,0,1,4,8,4,4,NA,NA,37,,,,,,,
1922,0,0,0,3,4,0,1,0,3,1,6,4,0,2,4,10,5,13,NA,NA,56,,,,,,,
1923,0,0,0,3,1,0,0,0,1,2,8,3,2,6,2,6,2,3,NA,NA,39,,,,,,,
1924,0,0,0,4,0,0,1,0,1,0,6,2,0,1,5,5,5,1,NA,NA,31,,,,,,,
1925,0,0,0,5,0,0,1,0,0,0,2,2,0,0,6,6,8,2,NA,NA,32,,,,,,,
1926,0,0,1,2,0,0,0,0,0,0,2,2,0,0,7,4,1,4,NA,NA,23,,,,,,,
1927,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,5,0,0,NA,NA,10,,,,,,,
1928,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,8,4,7,NA,NA,27,,,,,,,
1929,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2,6,3,NA,NA,20,,,,,,,
1930,0,0,0,0,3,0,2,0,0,0,0,0,0,0,5,2,2,3,NA,NA,17,,,,,,,
1931,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,2,1,1,NA,NA,8,,,,,,,
1932,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,NA,NA,10,,,,,,,
1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,NA,NA,5,,,,,,,
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,NA,NA,3,,,,,,,
1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,NA,NA,4,,,,,,,
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,NA,NA,5,,,,,,,
1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,NA,NA,7,,,,,,,
1938,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,10,0,1,NA,NA,16,,,,,,,
1939,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,8,0,1,NA,NA,16,,,,,,,
1940,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,NA,NA,7,,,,,,,
1941,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2,,,,,,,
1942,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,NA,NA,7,,,,,,,
1943,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,NA,NA,7,,,,,,,
1944,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,11,0,0,NA,NA,14,,,,,,,
1945,0,0,0,6,0,0,0,0,0,0,0,1,0,0,3,18,0,0,NA,NA,28,,,,,,,
1946,0,0,2,5,0,0,0,0,0,0,2,6,0,0,3,48,16,3,NA,NA,85,,,,,,,
1947,0,0,0,3,0,0,0,0,0,0,0,2,0,1,5,8,20,16,NA,NA,55,,,,,,,
1948,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,4,10,30,NA,NA,49,,,,,,,
1949,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,6,5,17,NA,NA,39,,,,,,,
1950,0,0,0,3,1,0,0,0,0,0,0,0,1,0,2,2,12,18,NA,NA,39,,,,,,,
1951,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,6,3,7,NA,NA,19,,,,,,,
1952,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,6,4,NA,NA,17,,,,,,,
1953,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,1,NA,NA,7,,,,,,,
1954,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,2,NA,NA,10,,,,,,,
1955,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,5,6,NA,NA,16,,,,,,,
1956,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,4,NA,NA,14,,,,,,,
1957,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,3,3,NA,NA,17,,,,,,,
1958,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,8,10,NA,NA,26,,,,,,,
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,1,NA,NA,17,,,,,,,
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,3,NA,NA,21,,,,,,,
1961,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,8,1,NA,NA,22,,,,,,,
1962,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,11,6,3,NA,NA,25,,,,,,,
1963,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,9,3,NA,NA,21,,,,,,,
1964,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,12,5,NA,NA,26,,,,,,,
1965,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,11,4,4,NA,NA,29,,,,,,,
1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8,4,NA,NA,23,,,,,,,
1967,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,7,NA,NA,16,,,,,,,
1968,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,12,23,NA,NA,42,,,,,,,
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,19,2,NA,NA,24,,,,,,,
1970,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,13,1,NA,NA,23,,,,,,,
1971,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8,6,4,NA,NA,20,,,,,,,
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,NA,NA,11,,,,,,,
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,NA,NA,5,,,,,,,
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,NA,NA,6,,,,,,,
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,NA,NA,4,,,,,,,
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,NA,NA,3,,,,,,,
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,NA,4,,,,,,,
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,1,,,,,,,
1979,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,NA,7,,,,,,,
1980,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,3,,,,,,,
1980-81,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,NA,8,,,,,,,
1981-82,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,NA,5,,,,,,,
1982-83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,3,,,,,,,
1983-84,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,2,,,,,,,
1984-85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,,,,,,,
1985-86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,NA,4,,,,,,,
1986-87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,NA,5,,,,,,,
1987-88,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,5,0,0,0,10,,,,,,,
1988-89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,,,,,,
1989-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,
1990-91,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,
1991-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,5,,,,,,,
1992-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,10,,,,,,,
1993-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,13,,,,,,,
1994-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,2,0,0,17,,,,,,,
1995-96,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,7,3,0,0,16,,,,,,,
1996-97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,1,0,0,17,,,,,,,
1997-98,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,12,2,0,0,19,,,,,,,
1998-99,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,10,5,2,0,0,22,,,,,,,
1999-2000,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,9,6,10,0,0,31,,,,,,,
2000-01,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,9,16,12,0,0,41,,,,,,,
2001-02,0,0,5,4,0,0,0,0,0,0,0,4,4,5,3,5,12,6,0,0,48,,,,,,,
2002-03,0,0,2,4,1,0,0,0,0,0,0,0,1,1,1,13,8,7,0,0,38,,,,,,,
2003-04,0,0,6,5,0,0,0,0,0,0,0,1,0,2,3,9,8,5,0,0,39,,,,,,,
2004-05,0,0,10,7,0,0,0,0,0,0,0,9,0,1,3,10,9,1,0,0,50,,,,,,,
2005-06,0,0,10,4,0,0,0,0,0,0,0,4,1,2,12,17,10,3,0,0,63,,,,,,,
2006-07,0,0,11,10,0,0,0,0,0,0,0,1,0,4,8,15,21,9,0,0,79,,,,,,,
2007-08,0,0,10,13,0,0,0,0,0,0,0,5,7,5,5,7,8,17,0,0,77,,,,,,,
2008-09,0,0,5,12,0,0,0,0,0,0,0,7,8,15,12,6,10,15,0,0,90,,,,,,,
2009-10,0,0,7,2,0,0,0,0,0,0,0,10,4,7,10,7,21,21,0,0,89,,,,,,,
2010-11,0,0,14,4,0,0,0,1,0,0,0,3,11,11,5,15,19,22,0,0,105,,,,,,,
2011-12,0,0,26,5,0,0,0,0,0,0,0,2,13,9,1,15,22,19,0,0,112,,,,,,,
2012-13,0,0,22,6,0,0,0,0,0,0,0,9,2,10,11,29,28,40,0,0,157,,,,,,,
2013-14,0,0,11,4,0,0,0,0,0,0,0,2,3,2,7,9,11,12,0,0,61,,,,,,,
2014-15,0,0,20,17,0,0,0,0,0,0,0,2,10,1,5,15,12,14,0,0,96,,,,,,,
2015-16,0,0,30,19,0,0,0,0,0,0,0,9,3,7,11,11,11,22,0,0,123,,,,,,,
2016-17,0,0,15,9,0,0,0,0,0,0,1,2,5,5,10,30,10,24,0,0,111,,,,,,,
2017-18,0,0,17,10,0,0,0,0,0,1,0,6,3,3,8,8,12,16,0,0,84,,,,,,,
2018-19,0,0,30,4,0,0,1,0,0,3,0,2,2,NA,NA,14,5,6,0,0,82,,,,15,,,
2019-20,0,0,25,13,0,0,0,0,0,0,0,2,10,NA,NA,11,13,13,0,0,114,,,,27,,,
2020-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,11,NA,NA,15,NA,NA,0,0,111,0,36,30,17,0,2,0